epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1187,1.4056,2.88288,1.51261,0.00356,0.56024,0.08648,0.04438,2.17028,3.13505,2.10191,0.0003334,0.0003334,0.0003334
2,26.0638,1.28637,1.9744,1.41124,0.4272,0.05729,0.09684,0.04006,2.30376,2.96041,2.38042,0.000682793,0.000682793,0.000682793
3,35.1511,1.31315,1.8611,1.45596,0.27937,0.13868,0.09847,0.03927,2.23141,2.94752,2.26647,0.00103149,0.00103149,0.00103149
4,45.8488,1.31082,1.8016,1.46547,0.11515,0.14245,0.05301,0.01828,2.39543,3.53846,2.76985,0.0013795,0.0013795,0.0013795
5,56.3255,1.35841,1.69738,1.45181,0.18354,0.18215,0.07005,0.03079,2.58586,5.44846,3.1696,0.0016604,0.0016604,0.0016604
6,65.2326,1.34714,1.69753,1.44176,0.20093,0.18401,0.09552,0.03406,2.48594,3.68187,2.90928,0.00165875,0.00165875,0.00165875
7,75.4274,1.30813,1.57974,1.41072,0.36103,0.25492,0.21132,0.08173,2.42931,2.96537,2.87586,0.0016571,0.0016571,0.0016571
8,85.7469,1.28487,1.50598,1.40268,0.33176,0.2488,0.17211,0.07275,2.33119,3.18074,2.64837,0.00165545,0.00165545,0.00165545
9,95.4375,1.27341,1.51825,1.39859,0.32438,0.24139,0.1712,0.0652,2.39236,3.80215,2.46228,0.0016538,0.0016538,0.0016538
10,105.098,1.27053,1.50662,1.39784,0.45636,0.31677,0.2667,0.1182,2.14769,2.96564,2.19345,0.00165215,0.00165215,0.00165215
11,115.306,1.25549,1.36841,1.37036,0.42999,0.29806,0.27791,0.12507,2.10923,3.06913,2.17183,0.0016505,0.0016505,0.0016505
12,125.398,1.30856,1.45385,1.42657,0.38312,0.26133,0.2322,0.10527,2.2699,2.67725,2.27584,0.00164885,0.00164885,0.00164885
13,134.175,1.25636,1.33283,1.35753,0.40063,0.28561,0.26533,0.11476,2.21949,2.68685,2.28877,0.0016472,0.0016472,0.0016472
14,144.193,1.23477,1.32739,1.36857,0.31055,0.23916,0.19187,0.08567,2.24446,2.9476,2.35914,0.00164555,0.00164555,0.00164555
15,154.091,1.22758,1.31606,1.34722,0.29564,0.23739,0.17185,0.07026,2.32185,2.76951,2.48322,0.0016439,0.0016439,0.0016439
16,162.694,1.20845,1.25727,1.3469,0.47306,0.30672,0.30926,0.13601,2.15147,2.56117,2.31597,0.00164225,0.00164225,0.00164225
17,172.651,1.1605,1.2227,1.34564,0.31993,0.2643,0.20632,0.08371,2.20772,2.64547,2.36298,0.00164059,0.00164059,0.00164059
18,182.762,1.16619,1.19741,1.32805,0.43449,0.33278,0.2989,0.13495,2.15009,2.41506,2.2745,0.00163894,0.00163894,0.00163894
19,191.24,1.18824,1.21418,1.33826,0.44188,0.30568,0.26777,0.11468,2.21434,2.55361,2.35363,0.00163729,0.00163729,0.00163729
20,203.017,1.17544,1.20155,1.33346,0.42356,0.32086,0.30604,0.13947,2.09582,2.35077,2.20264,0.00163564,0.00163564,0.00163564
21,213.315,1.14956,1.16659,1.33472,0.41456,0.28969,0.26058,0.12282,2.08902,2.51008,2.18006,0.00163399,0.00163399,0.00163399
22,222.992,1.10383,1.08372,1.27934,0.45278,0.33862,0.34862,0.16688,2.10423,2.31573,2.17897,0.00163234,0.00163234,0.00163234
23,231.922,1.14861,1.14891,1.3138,0.54354,0.30996,0.31186,0.152,2.06755,2.33463,2.05879,0.00163069,0.00163069,0.00163069
24,242.505,1.16444,1.09095,1.31539,0.32214,0.32271,0.23803,0.0872,2.2578,2.61224,2.3522,0.00162904,0.00162904,0.00162904
25,252.5,1.11526,1.0782,1.28353,0.4413,0.35058,0.30098,0.13032,2.15659,2.53661,2.35111,0.00162739,0.00162739,0.00162739
26,261.174,1.11595,1.14689,1.30589,0.38595,0.32325,0.27691,0.13246,2.16899,2.47257,2.27038,0.00162574,0.00162574,0.00162574
27,271.039,1.11347,1.04639,1.27923,0.49797,0.33675,0.35231,0.16227,2.14645,2.18674,2.21769,0.00162409,0.00162409,0.00162409
28,281.032,1.08958,1.03391,1.26678,0.48126,0.34768,0.33114,0.15719,2.08772,2.33114,2.15745,0.00162244,0.00162244,0.00162244
29,289.644,1.10652,1.07383,1.28771,0.55619,0.31199,0.29508,0.12345,2.15999,2.42195,2.21379,0.00162079,0.00162079,0.00162079
30,299.624,1.08695,1.01393,1.2554,0.35839,0.31476,0.26703,0.12647,2.2482,2.88451,2.34661,0.00161914,0.00161914,0.00161914
31,309.763,1.12244,1.03299,1.2944,0.4657,0.33966,0.31884,0.15724,2.12023,2.29838,2.21393,0.00161749,0.00161749,0.00161749
