epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4774,1.4056,2.88288,1.51261,0.00356,0.56024,0.08648,0.04438,2.17028,3.13505,2.10191,0.0003334,0.0003334,0.0003334
2,23.5345,1.28895,1.97531,1.40697,0.33316,0.04333,0.08851,0.03722,2.25827,2.95712,2.36601,0.000676704,0.000676704,0.000676704
3,34.7461,1.29492,1.82999,1.44498,0.18029,0.15462,0.09171,0.03266,2.33052,3.28857,2.60515,0.00101308,0.00101308,0.00101308
4,44.955,1.30259,1.7759,1.45637,0.18543,0.24385,0.1246,0.05138,2.30092,4.19422,2.62243,0.00134252,0.00134252,0.00134252
5,53.861,1.3651,1.72479,1.44174,0.23748,0.25479,0.13622,0.05776,2.48889,4.09264,2.90589,0.00160099,0.00160099,0.00160099
6,64.5136,1.34187,1.67546,1.39963,0.07944,0.09215,0.02809,0.00874,2.74629,5.46001,3.57233,0.00158448,0.00158448,0.00158448
7,73.9848,1.29194,1.58095,1.40222,0.22257,0.2425,0.12712,0.04836,2.38996,3.06329,2.60092,0.00156798,0.00156798,0.00156798
8,82.9037,1.28343,1.53384,1.38682,0.32515,0.22622,0.20646,0.09509,2.28245,3.14095,2.31511,0.00155148,0.00155148,0.00155148
9,92.9383,1.24825,1.49652,1.38347,0.34818,0.29397,0.27185,0.12973,2.36546,3.17714,2.40034,0.00153497,0.00153497,0.00153497
10,102.83,1.24776,1.47969,1.37293,0.38285,0.31334,0.26316,0.12316,2.21631,2.88296,2.43616,0.00151847,0.00151847,0.00151847
11,111.566,1.21658,1.36266,1.34117,0.42009,0.33309,0.28394,0.13378,2.09463,2.70998,2.21054,0.00150197,0.00150197,0.00150197
12,121.719,1.24643,1.41838,1.39644,0.401,0.3526,0.31075,0.14066,2.16339,2.49594,2.38471,0.00148546,0.00148546,0.00148546
13,131.902,1.18917,1.2901,1.31813,0.35738,0.24971,0.23208,0.09902,2.29044,2.92724,2.41791,0.00146896,0.00146896,0.00146896
14,140.56,1.19576,1.31099,1.32729,0.4136,0.33144,0.29775,0.14533,2.12185,2.47374,2.22675,0.00145246,0.00145246,0.00145246
15,150.724,1.17403,1.28337,1.31712,0.3746,0.28748,0.25464,0.11369,2.17588,2.61966,2.30224,0.00143595,0.00143595,0.00143595
16,160.979,1.16599,1.19705,1.30762,0.50956,0.30664,0.32491,0.14479,2.15971,2.40289,2.28383,0.00141945,0.00141945,0.00141945
17,169.696,1.11844,1.17514,1.29714,0.5051,0.32449,0.29574,0.12437,2.17923,2.51858,2.32049,0.00140295,0.00140295,0.00140295
18,179.877,1.10317,1.14501,1.28066,0.52569,0.30869,0.32705,0.13736,2.17815,2.31268,2.28917,0.00138644,0.00138644,0.00138644
19,190.12,1.16483,1.17295,1.32515,0.43682,0.3459,0.32132,0.13952,2.10546,2.36948,2.28452,0.00136994,0.00136994,0.00136994
20,198.938,1.14233,1.16199,1.31179,0.38412,0.31641,0.2721,0.11387,2.20362,2.57545,2.30192,0.00135344,0.00135344,0.00135344
21,208.805,1.0923,1.10212,1.28287,0.48081,0.34167,0.34468,0.15544,2.1354,2.34758,2.19879,0.00133693,0.00133693,0.00133693
22,219.041,1.08044,1.04416,1.2604,0.39734,0.32138,0.2878,0.12718,2.25927,2.56626,2.4297,0.00132043,0.00132043,0.00132043
23,227.915,1.10924,1.08361,1.28067,0.51946,0.30695,0.30697,0.13427,2.31943,2.44634,2.42619,0.00130393,0.00130393,0.00130393
24,237.751,1.1388,1.07529,1.30011,0.45786,0.30497,0.2874,0.12721,2.11276,2.37468,2.23095,0.00128742,0.00128742,0.00128742
25,247.967,1.07112,1.00286,1.25218,0.44397,0.33215,0.31561,0.1466,2.0814,2.36851,2.18262,0.00127092,0.00127092,0.00127092
26,257.284,1.0869,1.08316,1.28558,0.3364,0.32106,0.25798,0.10814,2.19287,2.62853,2.2537,0.00125442,0.00125442,0.00125442
27,266.505,1.08122,0.99486,1.26546,0.47663,0.40326,0.35868,0.16314,2.14559,2.22777,2.25727,0.00123791,0.00123791,0.00123791
28,276.811,1.06628,1.01425,1.2491,0.44252,0.34893,0.34336,0.16641,2.04552,2.20667,2.15399,0.00122141,0.00122141,0.00122141
29,287.658,1.04282,0.98956,1.24651,0.45476,0.3104,0.29927,0.13973,2.05839,2.71073,2.15129,0.00120491,0.00120491,0.00120491
30,297.269,1.02537,0.97885,1.20871,0.45423,0.31927,0.31317,0.14079,2.13317,2.53859,2.23252,0.0011884,0.0011884,0.0011884
31,307.421,1.04726,0.96928,1.24613,0.50892,0.36248,0.36363,0.17415,2.0492,2.24154,2.08815,0.0011719,0.0011719,0.0011719
32,317.336,1.01872,0.91507,1.21949,0.44071,0.36872,0.33749,0.16275,2.03618,2.23286,2.04877,0.0011554,0.0011554,0.0011554
33,326.27,0.97386,0.89351,1.19332,0.46007,0.3524,0.33317,0.15956,2.13908,2.41611,2.29725,0.00113889,0.00113889,0.00113889
34,336.409,0.99321,0.88994,1.1995,0.48762,0.36144,0.34491,0.16844,2.04526,2.29961,2.1877,0.00112239,0.00112239,0.00112239
35,346.581,0.98713,0.8518,1.19969,0.48824,0.37237,0.36373,0.1848,2.02279,2.22296,2.13053,0.00110589,0.00110589,0.00110589
36,355.091,0.98881,0.88424,1.18867,0.52654,0.33877,0.33322,0.16076,2.07851,2.34149,2.17624,0.00108938,0.00108938,0.00108938
37,365.007,0.95469,0.8425,1.1756,0.45185,0.3974,0.3637,0.1756,2.05947,2.20282,2.13785,0.00107288,0.00107288,0.00107288
38,374.74,0.95942,0.80714,1.18453,0.51837,0.35745,0.34191,0.16364,2.0659,2.2862,2.1379,0.00105638,0.00105638,0.00105638
39,383.159,0.94073,0.84162,1.1912,0.47561,0.36827,0.34137,0.16881,2.06722,2.29964,2.19897,0.00103987,0.00103987,0.00103987
