epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2328,1.4056,2.88288,1.51261,0.00356,0.56024,0.08648,0.04438,2.17028,3.13505,2.10191,0.0003334,0.0003334,0.0003334
2,23.0929,1.28836,1.97225,1.40922,0.43955,0.05634,0.09298,0.03749,2.32449,2.99511,2.44125,0.000680763,0.000680763,0.000680763
3,32.1131,1.33431,1.84975,1.47112,0.30196,0.16863,0.13799,0.05487,2.15797,2.86329,2.27577,0.00102535,0.00102535,0.00102535
4,42.7178,1.33049,1.76525,1.45842,0.24728,0.19712,0.11333,0.03904,2.33436,3.12347,2.59962,0.00136717,0.00136717,0.00136717
5,53.0413,1.36142,1.66923,1.43047,0.26532,0.26289,0.17461,0.071,2.24135,3.47184,2.46474,0.00164059,0.00164059,0.00164059
6,61.9742,1.35246,1.64571,1.40785,0.31548,0.27536,0.21785,0.08425,2.35056,3.47378,2.48752,0.00163399,0.00163399,0.00163399
7,72.2015,1.30895,1.58305,1.40279,0.32083,0.26218,0.20366,0.09245,2.29597,3.27309,2.57726,0.00162739,0.00162739,0.00162739
8,82.5146,1.27966,1.52899,1.38497,0.28731,0.34205,0.22036,0.08915,2.29987,3.55976,2.54584,0.00162079,0.00162079,0.00162079
9,91.4883,1.23822,1.48112,1.3907,0.3892,0.29212,0.24151,0.10191,2.24329,3.16361,2.43279,0.00161419,0.00161419,0.00161419
10,103.26,1.25871,1.46825,1.38877,0.4171,0.32754,0.29402,0.13207,2.12427,2.59185,2.25899,0.00160759,0.00160759,0.00160759
11,113.459,1.23421,1.36119,1.364,0.24272,0.20168,0.15538,0.07078,2.17286,3.23174,2.21822,0.00160099,0.00160099,0.00160099
12,123.674,1.2788,1.43589,1.40197,0.37568,0.27301,0.23946,0.10941,2.14684,2.62358,2.26757,0.00159439,0.00159439,0.00159439
